File: test2.txt
------------Properties------------
Number of cities: 51
Number of chromosomes: 500
Number of generations: 1000
Tournament candidates: 3
Crossover type: UOX with bitmask
Crossover rate: 100%
Mutation type: Scramble
Mutation rate: 0%
--------------Results-------------
Average distance of first generation: 1620.214
Average distance of last generation: 1448.5588
Best distance of first generation: 1394.783
Best distance of last generation: 1183.9829
-------Per generation stats-------
497 : Average=1453.7869Best=1230.4763
498 : Average=1455.4586Best=1230.4763
499 : Average=1454.9529Best=1230.4763
500 : Average=1453.1013Best=1230.4763
501 : Average=1453.16Best=1230.4763
502 : Average=1453.6956Best=1230.4763
503 : Average=1464.4031Best=1230.4763
504 : Average=1454.5465Best=1230.4763
505 : Average=1454.9985Best=1230.4763
506 : Average=1457.1771Best=1230.4763
507 : Average=1447.6007Best=1230.4763
508 : Average=1456.7078Best=1230.4763
509 : Average=1465.687Best=1230.4763
510 : Average=1461.3972Best=1230.4763
511 : Average=1457.6104Best=1230.4763
512 : Average=1447.1765Best=1230.4763
513 : Average=1456.4329Best=1230.4763
514 : Average=1452.022Best=1230.4763
515 : Average=1448.3016Best=1230.4763
516 : Average=1458.7836Best=1230.4763
517 : Average=1457.1163Best=1230.4763
518 : Average=1459.7803Best=1230.4763
519 : Average=1456.5431Best=1230.4763
520 : Average=1457.0006Best=1230.4763
521 : Average=1458.8107Best=1230.4763
522 : Average=1462.7755Best=1230.4763
523 : Average=1462.2639Best=1230.4763
524 : Average=1458.333Best=1230.4763
525 : Average=1466.8721Best=1230.4763
526 : Average=1458.5087Best=1230.4763
527 : Average=1458.8511Best=1230.4763
528 : Average=1451.7153Best=1230.4763
529 : Average=1451.7715Best=1230.4763
530 : Average=1450.6896Best=1230.4763
531 : Average=1451.4653Best=1230.4763
532 : Average=1463.2969Best=1230.4763
533 : Average=1463.3545Best=1230.4763
534 : Average=1453.5106Best=1230.4763
535 : Average=1468.8298Best=1230.4763
536 : Average=1465.5096Best=1230.4763
537 : Average=1460.2063Best=1230.4763
538 : Average=1457.4172Best=1230.4763
539 : Average=1451.596Best=1230.4763
540 : Average=1457.916Best=1230.4763
541 : Average=1455.2538Best=1230.4763
542 : Average=1459.1926Best=1230.4763
543 : Average=1455.6442Best=1230.4763
544 : Average=1458.1573Best=1230.4763
545 : Average=1463.3936Best=1230.4763
546 : Average=1452.099Best=1230.4763
547 : Average=1460.6986Best=1230.4763
548 : Average=1455.204Best=1230.4763
549 : Average=1458.259Best=1230.4763
550 : Average=1458.7771Best=1230.4763
551 : Average=1452.0991Best=1230.4763
552 : Average=1460.301Best=1230.4763
553 : Average=1461.7284Best=1230.4763
554 : Average=1462.5209Best=1230.4763
555 : Average=1451.239Best=1230.4763
556 : Average=1448.8511Best=1230.4763
557 : Average=1450.4987Best=1230.4763
558 : Average=1457.5332Best=1230.4763
559 : Average=1456.4344Best=1230.4763
560 : Average=1458.3062Best=1230.4763
561 : Average=1461.901Best=1230.4763
562 : Average=1456.0898Best=1230.4763
563 : Average=1466.3486Best=1230.4763
564 : Average=1461.6813Best=1230.4763
565 : Average=1468.1571Best=1230.4763
566 : Average=1460.0322Best=1230.4763
567 : Average=1453.3501Best=1230.4763
568 : Average=1462.7571Best=1230.4763
569 : Average=1454.0353Best=1230.4763
570 : Average=1460.2555Best=1230.4763
571 : Average=1453.6204Best=1230.4763
572 : Average=1465.3495Best=1230.4763
573 : Average=1465.1855Best=1230.4763
574 : Average=1469.5029Best=1230.4763
575 : Average=1466.4722Best=1230.4763
576 : Average=1465.9564Best=1230.4763
577 : Average=1463.2948Best=1230.4763
578 : Average=1461.3986Best=1230.4763
579 : Average=1456.9977Best=1230.4763
580 : Average=1459.6608Best=1230.4763
581 : Average=1461.2413Best=1230.4763
582 : Average=1457.1049Best=1230.4763
583 : Average=1456.47Best=1230.4763
584 : Average=1459.3278Best=1230.4763
585 : Average=1452.8693Best=1230.4763
586 : Average=1466.424Best=1230.4763
587 : Average=1467.5542Best=1230.4763
588 : Average=1454.0582Best=1230.4763
589 : Average=1457.7909Best=1230.4763
590 : Average=1457.4596Best=1230.4763
